regNum;fullTitle;dept;dNum;titleString;day;time1;time2;location;building;room;credit;enrollment;available;max;distributions;distCode;distDescription;prerequisites;description
13963;AMST 281 Rainbow Republic: American Queer Culture from Walt Whitman to Lady Gaga;AMST;281;Rainbow Republic: American Queer Culture from Walt Whitman to Lady Gaga;MTh;09:50 am;11:00 am ;Jewett Art Center-450;Jewett Art Center;450;1;19;6;25;;HS;Historical Studies;(s);Transgender rights, gay marriage, and Hollywood and sports figures’ media advocacy are only the latest manifestations of the rich queer history of the United States.  This course will explore American LGBTQ history and culture from the late nineteenth century to the present, with an emphasis on consequential developments in society, politics, and consciousness since Stonewall in 1969.  The course will introduce some elements of gender and queer theory| it will address historical and present-day constructions of sexuality through selected historical readings but primarily through the vibrant cultural forms produced by queer artists and communities.  The course will survey significant queer literature, art, film, and popular culture, with an emphasis on the inventive new forms of recent decades.  It will also emphasize the rich diversity of queer culture especially through the intersectionality of sexuality with race, ethnicity, class, and gender.
13964;AMST 290 Afro-Latinas/os in the U.S.;AMST;290;Afro-Latinas/os in the U.S.;MTh;02:50 pm;04:00 pm ;Pendleton Hall East-216;Pendleton Hall East;216;1;9;11;20;;SBA;Social and Behavioral Analysis;(s);This course examines the experiences and cultures of Afro-Latinas/os, people of both African and Latin American descent, in the United States. We will consider how blackness intersects with Latino identity, using social movements, politics, popular culture, and literature as the bases of our analysis. This course addresses these questions transnationally, taking into account not only racial dynamics within the United States, but also the influence of dominant Latin American understandings of race and national identity.  We will consider the social constructions of blackness and Latinidad| the intersections of race, class, gender, and sexuality in the Latino community| immigration and racial politics| representations of Afro-Latinas/os in film, music, and literature| and African American-Latino relations.
14154;AMST 296 Diaspora and Immigration in 21st-Century American Literature;AMST;296;Diaspora and Immigration in 21st-Century American Literature;TF;09:50 am;11:00 am ;Founders Hall-227;Founders Hall;227;1;13;17;30;;LL;Language and Literature;(s);This course explores the exciting new literature produced by writers transplanted to the United States or by children of recent immigrants.  We’ll consider how the perspectives of recent immigrants redefine what is American by sustaining linkages across national borders, and we’ll examine issues of hybrid identity and multiple allegiances, collective memory, traumatic history, nation, home and homeland, and globalization.  Our course materials include novels, essays, memoirs, and films.   We’ll be looking at writers in the United States with cultural connections to China, Egypt, Nigeria, Dominican Republic, India, Greece, Viet Nam, Bosnia, Ethiopia, and Japan. Some authors to be included: André Aciman, Chimamanda Adichie, Junot Díaz, Kiran Desai, Jeffrey Eugenides, Aleksandar Hemon, Lê Thi Diem Thúy,  Dinaw Mengestu, and Julie Otsuka.
14173;AMST 299 American Nightmares: The Horror Film in America;AMST;299;American Nightmares: The Horror Film in America;M;06:30 pm;09:00 pm ;Founders Hall-120;Founders Hall;120;1;23;7;30;;ARS;Arts, Music, Theatre, Film and Video;(s);An exploration of the horror film in America, from the early sound era to the present, with particular attention to the ways that imaginary monsters embody real terrors, and the impact of social and technological change on the stories through which we provoke and assuage our fears.  We&rsquo|ll study classics of the genre, such as Frankenstein, Cat People, Dawn of the Dead,</em> and</em> The Shinin</em>g, as well as a representative sampling of contemporary films, and read some of the most important work in the rich tradition of critical and theoretical writing on horror.
13965;AMST 317 Seminar: Advanced Topics in American Studies;AMST;317;Seminar: Advanced Topics in American Studies;W;02:15 pm;04:45 pm ;Founders Hall-423;Founders Hall;423;1;16;0;15;;;Social and Behavioral Analysis or Historical Studies;Permission of Instructor: Required;<strong>Topic for 2016-17: The Real Barack Obama</strong><br />|This course examines Barack Obama, first, as a viable public intellectual who intervenes on discussions of race, religion, and other hot-button topics, and second, as a cultural phenomenon and symbol of significant social import. Students will critically engage Obama's writings and speaking, including his biography, sense of identity, and political philosophy. We will move to the events of his presidential campaign to understand his electoral victory, examining representations of Obama during and after the 2008 and 2012 elections. Instead of only situating President Obama in American history, or giving his supporters a platform to celebrate his ascendance, this seminar will ask students to unpack that ascendancy over the&nbsp|past eight years&nbsp|and to engage the broader discourses that make him a political and cultural lightning rod.[|]
14160;AMST 319 Seminar: Religion, Law, and Politics in America;AMST;319;Seminar: Religion, Law, and Politics in America;W;09:50 am;12:20 pm ;Pendleton Hall East-251;Pendleton Hall East;251;1;12;0;12;;HS;REP;(s);A study of the relationships among religion, fundamental law, and political culture in the American experience. Topics include established religion in the British colonies, religious ideologies in the American Revolution, religion and rebellion in the Civil War crisis, American civil religion, and the New Religious Right. Special attention to the separation of church and state, selected Supreme Court cases on the religion clauses of the First Amendment, and religious and moral issues in current American politics.
10946;ANTH 104 Introduction to Cultural and Social Anthropology;ANTH;104;Introduction to Cultural and Social Anthropology;MTh;11:10 am;12:20 pm ;Pendleton Hall East-327;Pendleton Hall East;327;1;16;14;30;;SBA;Social and Behavioral Analysis;(s);A comparative approach to the concept of culture and an analysis of how culture structures the worlds we live in. The course examines human societies from their tribal beginnings to the postindustrial age. We will consider the development of various types of social organization and their significance based on family and kinship, economics, politics, and religion.
13647;ANTH 206 Archaeology;ANTH;206;Archaeology;TF;11:10 am;12:20 pm ;Pendleton Hall East-349;Pendleton Hall East;349;1;14;6;20;;SBA;Social and Behavioral Analysis;(s);A survey of the development of archaeology. The methods and techniques of archaeology are presented through an analysis of excavations and prehistoric remains. Materials studied range from early hominid sites in Africa to the Bronze Age civilizations of the Old World and the Aztec and Inca empires of the New World. Students are introduced to techniques for reconstructing the past from material remains. The course includes a field trip to a neighboring archaeological site.
13966;ANTH 219 Balkan Cinematic Representations;ANTH;219;Balkan Cinematic Representations;Th;06:00 pm;08:30 pm ;Pendleton Hall East-239;Pendleton Hall East;239;1;4;16;20;;SBA;Social and Behavioral Analysis;(s);In the course of Europe's road to modernity, the southeastern corner of the continent became known as the Balkans. The Western imagination rendered the peoples and the rich cultures of the area as backward, violent, and underdeveloped. This course examines the imagery of the area and its people through film. We will explore the use of history by filmmakers and the use of films in understanding a number of issues in the history of the Balkans. The course will trace the adoration of ancient Greek antiquity, the legacy of Byzantium and Orthodox Christianity as well as the Ottoman influence and the appearance of Islam. The historical past is (re)constructed and (re)presented in film, as are the national awakenings and liberation movements. The list of films we will watch and the anthropological and historical readings we will do aspire to cover various aspects of Balkan societies as revealed through visual and cinematic representations. Balkan film is politically, socially, and historically engaged, and we will use film narratives and stories to understand the area's diverse landscapes and cultures, religions and identities, love and hatred.
14069;ANTH 239 Visual Culture of South Asia;ANTH;239;Visual Culture of South Asia;TF;09:50 am;11:00 am ;Pendleton Hall East-130;Pendleton Hall East;130;1;6;14;20;;ARS;SBA;(s);The Indian subcontinent is iconic for its rich and varied visual traditions&mdash|from Mughal miniatures to calendar art, monumental architecture to television soap operas. With the spread of "Bollywood" films beyond the subcontinent, and with American television now representing Indian culture during prime time, an anthropological perspective on South Asian visual culture is particularly timely. In this course, we will examine many of the diverse visual forms and practices of the region from an anthropological perspective&mdash|that is, focusing on the social practices and cultural formations that arise around and shape them. We will learn how anthropologists study South Asian visual practices, including photography, film, textiles, and comic books, and assess the implications of these practices for Western theories about visuality and modernity.
14070;ANTH 243 The (In)Visible Native America: Past and Present;ANTH;243;The (In)Visible Native America: Past and Present;MTh;09:50 am;11:00 am ;Pendleton Hall East-127;Pendleton Hall East;127;1;13;7;20;;SBA;Social and Behavioral Analysis;(s);This course will examine the historical significance of Native Americans within anthropology as well as the contemporary challenge of defining Native American identity in a scientific context.&nbsp|The study of indigenous North American populations played a major role in the early formation of American anthropology as a discipline. The treatment of Native Americans as a subject for study has left a legacy across the social and natural sciences of thinking of Native peoples as research entities of the past, even as they remain communities of the present. Throughout anthropology&rsquo|s history, the discipline has played a paradoxical role in adding to our knowledge of North American prehistory and human biological variation, while contributing to the systematic erasure of the idea of contemporary Native peoples.&nbsp|
13968;ANTH 245 Culture, Politics, and Power: Anthropological Perspectives on Latin America;ANTH;245;Culture, Politics, and Power: Anthropological Perspectives on Latin America;MTh;02:50 pm;04:00 pm ;Pendleton Hall East-430;Pendleton Hall East;430;1;6;14;20;;SBA;Social and Behavioral Analysis;(s);This course explores contemporary issues in Latin America from an anthropological perspective. We will discuss legacies of colonialism and Cold War power struggles, as well as the active role indigenous peoples and social movements are playing in crafting Latin American futures. We will trace the ways the region is enmeshed in transnational processes and migrations and analyze the intersection of culture, race, gender, and class in shaping urban centers, rural hinterlands, and livelihood strategies within them. In particular, we will discuss how ethnographic research – the long-term fieldwork conducted by anthropologists – can enrich our understanding of hotly debated issues such as statecraft, borders, and shifting meanings of citizenship| in/security, human rights, and democratization| and, illicit economies, extractive industries, and development.
12255;ANTH 301 History and Theory in Anthropology;ANTH;301;History and Theory in Anthropology;M;06:00 pm;08:30 pm ;Pendleton Hall East-251;Pendleton Hall East;251;1;12;3;15;;SBA;Social and Behavioral Analysis;(s);This course introduces students to contemporary anthropology by tracing its historical development and its specific application in ethnographic writing. It examines the social context in which each selected model or "paradigm" took hold and the extent of cognitive sharing, by either intellectual borrowing or breakthrough. The development of contemporary theory will be examined both as internal to the discipline and as a response to changing intellectual climates and social milieu. The course will focus on each theory in action, as the theoretical principles and methods apply to ethnographic case studies.
13969;ANTH 305 Ethnographic Film;ANTH;305;Ethnographic Film;T;01:30 pm;04:00 pm ;Pendleton Hall East-216;Pendleton Hall East;216;1;10;5;15;;SBA;Social and Behavioral Analysis;(s);This seminar explores ethnographic film as a genre for representing "reality," anthropological knowledge and cultural lives. We will examine how ethnographic film emerged in a particular intellectual and political economic context as well as how subsequent conceptual and formal innovations have shaped the genre. We will also consider social responses to ethnographic film in terms of the contexts for producing and circulating these works| the ethical and political concerns raised by cross-cultural representation| and the development of indigenous media and other practices in conversation with ethnographic film. Throughout the course, we will situate ethnographic film within the larger project for representing "culture," addressing the status of ethnographic film in relation to other documentary practices, including written ethnography, museum exhibitions, and documentary film.
13970;ANTH 314 Human Biology and Society;ANTH;314;Human Biology and Society;MTh;01:30 pm;02:40 pm ;Pendleton Hall East-216;Pendleton Hall East;216;1;4;11;15;;SBA;Social and Behavioral Analysis;(s);This seminar will provide an anthropological perspective on the intersection between human biology and society in three related topics. The first unit will focus on human genetic diversity and the increasing use of genetic information in society. Included in this unit will be discussions of genetic ancestry testing and the construction of identity. The second unit will examine in more detail the genetic basis of phenotypic traits and disease, exploring what our genes can reveal about us while also considering the problems of biological determinism. The final unit will extend the understanding of human biological variation by looking at the relationship between humans and our environment, how our environment changed throughout prehistory and contemporary times, and what role the environment plays in shaping human variation.
11049;ARAB 101 Elementary Arabic;ARAB;101;Elementary Arabic;MTWTh;08:30 am;09:40 am ;Green Hall-338;Green Hall;338;1;7;8;15;;;None;(s);An introduction to the Arabic language. The course takes a comprehensive approach to language learning and emphasizes the four skills of listening, speaking, reading, and writing. Students are introduced to the principles of grammar, taught how to read and write in the Arabic alphabet, and trained in the basics of everyday conversation. Through the use of a variety of written, video, and audio materials, as well as other resources made available through the Web, the course emphasizes authentic materials and stresses the active participation of students in the learning process.
11362;ARAB 101 Elementary Arabic;ARAB;101;Elementary Arabic;MTWTh;09:50 am;11:00 am ;Green Hall-338;Green Hall;338;1;3;12;15;;;None;(s);An introduction to the Arabic language. The course takes a comprehensive approach to language learning and emphasizes the four skills of listening, speaking, reading, and writing. Students are introduced to the principles of grammar, taught how to read and write in the Arabic alphabet, and trained in the basics of everyday conversation. Through the use of a variety of written, video, and audio materials, as well as other resources made available through the Web, the course emphasizes authentic materials and stresses the active participation of students in the learning process.
11050;ARAB 201 Intermediate Arabic;ARAB;201;Intermediate Arabic;MWTh;08:30 am;09:40 am ;Green Hall-428;Green Hall;428;1;8;7;15;;;None;(s);A continuation of ARAB 101-ARAB 102. The course takes students to a deeper and more complex level in the study of the Arabic language. While continuing to emphasize the organizing principles of the language, the course also introduces students to a variety of challenging texts, including extracts from newspaper articles, as well as literary and religious materials. Students will be trained to work with longer texts and to gain the necessary communicative skills to prepare them for advanced-level Arabic.
11888;ARAB 201 Intermediate Arabic;ARAB;201;Intermediate Arabic;MWTh;09:50 am;11:00 am ;Green Hall-136C;Green Hall;136C;1;14;1;15;;;None;(s);A continuation of ARAB 101-ARAB 102. The course takes students to a deeper and more complex level in the study of the Arabic language. While continuing to emphasize the organizing principles of the language, the course also introduces students to a variety of challenging texts, including extracts from newspaper articles, as well as literary and religious materials. Students will be trained to work with longer texts and to gain the necessary communicative skills to prepare them for advanced-level Arabic.
13971;ARAB 301 Advanced Arabic I;ARAB;301;Advanced Arabic I;W;01:30 pm;04:00 pm ;Founders Hall-305;Founders Hall;305;1;9;6;15;;LL;Language and Literature;(s);Continuation of ARAB 201-ARAB 202. Involving further development of students' skills in listening, speaking, reading, and writing, this course exposes students to a variety of authentic Arabic materials, including print and online sources, incorporating MSA and diglossia. Focus on enhanced communication skills in Arabic and attention to the use of language in its sociocultural context. Appropriate for students who have completed ARAB 201-ARAB 202 at Wellesley or the equivalent in summer courses or international study programs.
13246;ARTH 100 The Power of Images:  An Introduction to Art and its Histories;ARTH;100;The Power of Images: An Introduction to Art and its Histories;MTh;11:10 am;12:20 pm ;Jewett Art Center-454;Jewett Art Center;454;1;11;7;7;;ARS;Arts, Music, Theatre, Film and Video;(s);Why does art matter? Because images, buildings, and environments shape our ways of understanding our world and ourselves. Learning how to look closely and analyze what you see, therefore, is fundamental to a liberal arts education. Within a global frame, this course provides an introduction to art and its histories through a series of case studies, from ancient China's terra cotta army to Picasso's Demoiselles d'Avignon.</em> Meeting twice weekly, each section will draw on the case studies to explore concepts of gender and race, cultural appropriation, political propaganda, and other issues through short lectures and class discussions. Site visits and assignments will engage with the rich art and architectural resources of Wellesley campus.
10171;ARTH 100 The Power of Images:  An Introduction to Art and its Histories;ARTH;100;The Power of Images: An Introduction to Art and its Histories;MTh;01:30 pm;02:40 pm ;Jewett Art Center-454;Jewett Art Center;454;1;11;7;7;;ARS;Arts, Music, Theatre, Film and Video;(s);Why does art matter? Because images, buildings, and environments shape our ways of understanding our world and ourselves. Learning how to look closely and analyze what you see, therefore, is fundamental to a liberal arts education. Within a global frame, this course provides an introduction to art and its histories through a series of case studies, from ancient China's terra cotta army to Picasso's Demoiselles d'Avignon.</em> Meeting twice weekly, each section will draw on the case studies to explore concepts of gender and race, cultural appropriation, political propaganda, and other issues through short lectures and class discussions. Site visits and assignments will engage with the rich art and architectural resources of Wellesley campus.
13840;ARTH 100 The Power of Images:  An Introduction to Art and its Histories;ARTH;100;The Power of Images: An Introduction to Art and its Histories;TF;09:50 am;11:00 am ;Jewett Art Center-450;Jewett Art Center;450;1;10;8;7;;ARS;Arts, Music, Theatre, Film and Video;(s);Why does art matter? Because images, buildings, and environments shape our ways of understanding our world and ourselves. Learning how to look closely and analyze what you see, therefore, is fundamental to a liberal arts education. Within a global frame, this course provides an introduction to art and its histories through a series of case studies, from ancient China's terra cotta army to Picasso's Demoiselles d'Avignon.</em> Meeting twice weekly, each section will draw on the case studies to explore concepts of gender and race, cultural appropriation, political propaganda, and other issues through short lectures and class discussions. Site visits and assignments will engage with the rich art and architectural resources of Wellesley campus.
13598;ARTH 200 Architecture and Urban Form;ARTH;200;Architecture and Urban Form;W;02:15 pm;04:45 pm ;Jewett Art Center-450;Jewett Art Center;450;1;19;6;25;;ARS;Arts, Music, Theatre, Film and Video;(s);An introduction to the study of architecture and the built environment. This course is limited to majors or prospective majors in architecture, art history, studio art, or urban studies, or to those students with a serious interest in theoretical and methodological approaches to those fields.
13972;ARTH 218 From Van Eyck to Bruegel: Painting in the Netherlands in the Fifteenth and Sixteenth Centuries;ARTH;218;From Van Eyck to Bruegel: Painting in the Netherlands in the Fifteenth and Sixteenth Centuries;TF;11:10 am;12:20 pm ;Jewett Art Center-452;Jewett Art Center;452;1;4;16;20;;ARS;Arts, Music, Theatre, Film and Video;(s);Focusing on the works of Jan van Eyck, Hieronymus Bosch, and Peter Bruegel the Elder, this course surveys the development of devotional panel painting and the emergence of the independent genres of portraiture, landscape, and scenes from daily life. Of special interest will be the changing role of art in an era of momentous political and religious change, and the ways in which that change is registered in the works of these particularly "engaged" artists.
13973;ARTH 241 Egyptian Art and Archaeology;ARTH;241;Egyptian Art and Archaeology;W;02:15 pm;04:45 pm ;Pendleton Hall East-239;Pendleton Hall East;239;1;24;6;5;;ARS;Arts, Music, Theatre, Film and Video;(s);The greater Nile Valley has yielded some of the world's most ancient and compelling monuments. In this course we will survey the art and architecture of ancient Egypt from Neolithic times (c. 6000 B.C.) through the Roman period (c. second century A.D.). One class session per month will meet in the Museum of Fine Arts.
13974;ARTH 248 Chinese Painting: Theories, Masters, and Principles;ARTH;248;Chinese Painting: Theories, Masters, and Principles;MTh;08:30 am;09:40 am ;Jewett Art Center-450;Jewett Art Center;450;1;12;8;20;;ARS;Arts, Music, Theatre, Film and Video;(s);Chinese painting can rival the European painting tradition in the quantity and diversity of its output, the number of recorded artists of note, the complexity of aesthetic issues attached to it, and the sophistication of the written literature that accompanies it through the centuries. This course examines Chinese painting from early times to the turn of the twentieth century with an introduction to traditional connoisseurship. Issues to be considered include major themes, styles, formats, and functions of Chinese painting. Special attention is given to imperial patronage| the relationship between painting, calligraphy, and poetry| literati ideal versus professionalism| gender and display| and the tension between tradition and creativity. Trips to the Museum of Fine Arts, Boston, and the Metropolitan Museum of Art, New York City.
13975;ARTH 251 The Arts in Renaissance Italy Before and After the Black Death;ARTH;251;The Arts in Renaissance Italy Before and After the Black Death;MTh;01:30 pm;02:40 pm ;Jewett Art Center-450;Jewett Art Center;450;1;8;12;3;;ARS;Arts, Music, Theatre, Film and Video;(s);This course surveys a selection of the arts in Renaissance Italy, focusing primarily on Tuscany and central Italy. This period witnessed the rise of the mendicant orders, the devastation of the Black Death, the growth of civic and private patronage, and, finally, the exile of the Medici family, all of which had a profound impact on the visual arts. The work of major artists and workshops will be examined and contextualized within their political, social, and economic settings by readings and discussions of contemporary texts and recent scholarship.
13976;ARTH 289 Nineteenth-Century European Art;ARTH;289;Nineteenth-Century European Art;TF;08:30 am;09:40 am ;Jewett Art Center-450;Jewett Art Center;450;1;11;9;20;;ARS;Arts, Music, Theatre, Film and Video;(s);This course<strong> </strong>surveys European art from the French Revolution of 1789 to the Paris Universal Exhibition of 1900. Focusing on such major movements as Neoclassicism, Romanticism, Realism, Impressionism, and Art Nouveau, we will examine the relationship of art to tradition, revolution, empire, social change, technology, and identity. Emphasis is placed on the representation and experience of modern life, in paintings by David, Goya, Turner, Manet, Seurat, and others, and in venues ranging from political festivals to avant-garde art galleries to London&rsquo|s Crystal Palace. Topics include the expanded audience for art, Orientalism, gender and representation, and the aesthetics of leisure.
14072;ARTH 313 Seminar: Eurasia: Empires, Merchants, and Missionaries (1600 - 1800);ARTH;313;Seminar: Eurasia: Empires, Merchants, and Missionaries (1600 - 1800);Th;09:50 am;12:20 pm ;Jewett Art Center-452;Jewett Art Center;452;1;6;7;13;;ARS;Arts, Music, Theatre, Film and Video;(s);This course examines forms of artistic and material exchange across the diverse cultures of Europe and Asia in the early modern era (c.1600-1800). Its aim is to realign Western Europe's art and history of the early modern period in relation to its continental neighbors. Case studies will be drawn from the Ottoman and Mughal Empires, the Dutch Republic, the British East India Company, and many more. We will examine how trade networks united various artistic traditions, and how artisans, merchants, missionaries and other intermediaries reinterpreted and disseminated practices of representation across geographic and cultural boundaries.
14071;ARTH 317 Historic Preservation: Theory and Practice;ARTH;317;Historic Preservation: Theory and Practice;W;09:50 am;12:20 pm ;Jewett Art Center-452;Jewett Art Center;452;1;9;4;13;;ARS;Arts, Music, Theatre, Film and Video;(s);Using the campus of Wellesley College as a case study, this course will explore the theory and practice of historic preservation. Beginning with a focus on the history of preservation in the United States, we will trace the development of legal, economic, public policy, and cultural frameworks that have shaped attitudes and approaches toward the preservation of our built environment. To ground these theoretical discussions, we will use the Wellesley College campus as a laboratory for understanding the benefits and challenges of historic preservation.  Students will engage in both individual and group projects that will emphasize field study of buildings and landscapes, archival research, planning, and advocacy. The course is designed for Architecture and Art History majors, but could also be of interest to students in History, American Studies, Environmental Studies and Political Science.
