regNum;fullTitle;dept;dNum;titleString;day;time1;time2;credit;enrollment;available;max;distributions;distCode;distDescription;prerequisites
11050;ARAB 201 Intermediate Arabic;ARAB;201;Intermediate Arabic;MWTh;08:30 am;09:40 am;1;8;7;15;;;None;ARAB 101, ARAB 102, or permission of the instructor.
11888;ARAB 201 Intermediate Arabic;ARAB;201;Intermediate Arabic;MWTh;09:50 am;11:00 am;1;14;1;15;;;None;ARAB 101, ARAB 102, or permission of the instructor.
13971;ARAB 301 Advanced Arabic I;ARAB;301;Advanced Arabic I;W;01:30 pm;04:00 pm;1;9;6;15;;LL;Language and Literature;ARAB 201-ARAB 202 or permission of the instructor.
13246;ARTH 100 The Power of Images:  An Introduction to Art and its Histories;ARTH;100;The Power of Images: An Introduction to Art and its Histories;MTh;11:10 am;12:20 pm;1;11;7;7;;ARS;Arts, Music, Theatre, Film and Video;None
10171;ARTH 100 The Power of Images:  An Introduction to Art and its Histories;ARTH;100;The Power of Images: An Introduction to Art and its Histories;MTh;01:30 pm;02:40 pm;1;11;7;7;;ARS;Arts, Music, Theatre, Film and Video;None
13840;ARTH 100 The Power of Images:  An Introduction to Art and its Histories;ARTH;100;The Power of Images: An Introduction to Art and its Histories;TF;09:50 am;11:00 am;1;10;8;7;;ARS;Arts, Music, Theatre, Film and Video;None
13598;ARTH 200 Architecture and Urban Form;ARTH;200;Architecture and Urban Form;W;02:15 pm;04:45 pm;1;19;6;25;;ARS;Arts, Music, Theatre, Film and Video;None
13972;ARTH 218 From Van Eyck to Bruegel: Painting in the Netherlands in the Fifteenth and Sixteenth Centuries;ARTH;218;From Van Eyck to Bruegel: Painting in the Netherlands in the Fifteenth and Sixteenth Centuries;TF;11:10 am;12:20 pm;1;4;16;20;;ARS;Arts, Music, Theatre, Film and Video;None. ARTH 101 recommended.
13973;ARTH 241 Egyptian Art and Archaeology;ARTH;241;Egyptian Art and Archaeology;W;02:15 pm;04:45 pm;1;24;6;5;;ARS;Arts, Music, Theatre, Film and Video;None. ARTH 100 recommended.
13974;ARTH 248 Chinese Painting: Theories, Masters, and Principles;ARTH;248;Chinese Painting: Theories, Masters, and Principles;MTh;08:30 am;09:40 am;1;12;8;20;;ARS;Arts, Music, Theatre, Film and Video;None. ARTH 100 and ARTH 101 recommended.
13975;ARTH 251 The Arts in Renaissance Italy Before and After the Black Death;ARTH;251;The Arts in Renaissance Italy Before and After the Black Death;MTh;01:30 pm;02:40 pm;1;8;12;3;;ARS;Arts, Music, Theatre, Film and Video;None. ARTH 101 recommended.
13976;ARTH 289 Nineteenth-Century European Art;ARTH;289;Nineteenth-Century European Art;TF;08:30 am;09:40 am;1;11;9;20;;ARS;Arts, Music, Theatre, Film and Video;None. ARTH 100 and ARTH 101 recommended.
14072;ARTH 313 Seminar: Eurasia: Empires, Merchants, and Missionaries (1600 - 1800);ARTH;313;Seminar: Eurasia: Empires, Merchants, and Missionaries (1600 - 1800);Th;09:50 am;12:20 pm;1;6;7;13;;ARS;Arts, Music, Theatre, Film and Video;Recommended ARTH 100 and ARTH 101 or by permission of instructor.
14071;ARTH 317 Historic Preservation: Theory and Practice;ARTH;317;Historic Preservation: Theory and Practice;W;09:50 am;12:20 pm;1;9;4;13;;ARS;Arts, Music, Theatre, Film and Video;ARTH 200 or permission of instructor
13977;ARTH 331 Seminar: The Art of Northern Europe;ARTH;331;Seminar: The Art of Northern Europe;Th;02:50 pm;05:20 pm;1;7;8;15;;ARS;Arts, Music, Theatre, Film and Video;None. ARTH 100 or 101 recommended.
13978;ARTH 335 Topics in Modern Art;ARTH;335;Topics in Modern Art;T;01:30 pm;04:00 pm;1;6;39;45;;ARS;Arts, Music, Theatre, Film and Video;Open to all Juniors and Seniors, and to Sophomores by permission of the instructors.
14206;ARTH 343 Seminar: Roman Monuments: Memory and Metamorphosis ;ARTH;343;Seminar: Roman Monuments: Memory and Metamorphosis;Th;06:00 pm;08:30 pm;1;11;2;13;;ARS;Arts, Music, Theatre, Film and Video;Prior coursework in Art History or Classical Civilization or permission of instructor
13979;ARTH 364 Women Filmmakers: History and Theory of Subversion;ARTH;364;Women Filmmakers: History and Theory of Subversion;W;09:50 am;12:20 pm;1;12;3;15;;ARS;Arts, Music, Theatre, Film and Video;One of the following courses: ARTH 224, ARTH 225, ARTH 226/CAMS 207| or WGST 120 or WGST 222| or by permission of the instructor.
13982;ARTS 105 Drawing I;ARTS;105;Drawing I;MTh;09:50 am;12:20 pm;1;12;6;6;;ARS;Arts, Music, Theatre, Film and Video;None.
10413;ARTS 105 Drawing I;ARTS;105;Drawing I;MTh;02:50 pm;05:20 pm;1;12;6;6;;ARS;Arts, Music, Theatre, Film and Video;None.
10162;ARTS 108 Photo I: Introduction to Photography;ARTS;108;Photo I: Introduction to Photography;MTh;01:30 pm;04:00 pm;1;13;1;14;;ARS;Arts, Music, Theatre, Film and Video;None
14074;ARTS 111 Color Theory;ARTS;111;Color Theory;TF;09:50 am;12:20 pm;1;8;8;6;;ARS;Arts, Music, Theatre, Film and Video;None
11256;ARTS 113 Three-Dimensional Design;ARTS;113;Three-Dimensional Design;TF;09:50 am;12:20 pm;1;9;7;16;;ARS;Arts, Music, Theatre, Film and Video;
10121;ARTS 165 Introduction to Video Production;ARTS;165;Introduction to Video Production;TF;09:50 am;12:20 pm;1;8;0;4;;ARS;Arts, Music, Theatre, Film and Video;None.
10617;ARTS 207 Sculpture I;ARTS;207;Sculpture I;TF;01:30 pm;04:00 pm;1;6;10;16;;ARS;Arts, Music, Theatre, Film and Video;ARTS 105 or ARTS 113 or permission of the instructor required.
13654;ARTS 208 Intermediate Photography: The digital/analog rift;ARTS;208;Intermediate Photography: The digital/analog rift;MTh;09:50 am;12:20 pm;1;9;3;12;;ARS;Arts, Music, Theatre, Film and Video;ARTS 108/CAMS 138 or permission of the instructor required.
11430;ARTS 218 Introductory Painting;ARTS;218;Introductory Painting;TF;01:30 pm;04:00 pm;1;14;2;16;;ARS;Arts, Music, Theatre, Film and Video;ARTS 105 or ARTS 109 or permission of the instructor required.
14075;ARTS 223 Alternative Print Methods: The Graphic Impulse;ARTS;223;Alternative Print Methods: The Graphic Impulse;TTh;06:30 pm;09:00 pm;1;11;1;12;;;;At least one of the following: ARTS 105, WRIT 115/ARTS 115, ARTS 108/CAMS 138, or ARTS 109/CAMS 139
13607;ARTS 255 Dynamic Interface Design;ARTS;255;Dynamic Interface Design;TF;09:50 am;12:20 pm;1;13;2;15;;ARS;Arts, Music, Theatre, Film and Video;ARTS 108 /CAMS 138, ARTS 109 and CS 110 or CS 111.
13608;ARTS 265 Intermediate Video Production/The Documentary Form;ARTS;265;Intermediate Video Production/The Documentary Form;M;01:30 pm;05:20 pm;1;12;0;12;;ARS;Arts, Music, Theatre, Film and Video;ARTS 165/CAMS 135 or permission of the instructor required.
13980;ARTS 321 Advanced New Media;ARTS;321;Advanced New Media;TF;01:30 pm;04:00 pm;1;15;0;15;;ARS;Arts, Music, Theatre, Film and Video;Two 200-level courses in ARTS, CAMS, or MAS.
14180;ARTS 324 The Space In-Between: Filling the Gap Between 2D and 3D;ARTS;324;The Space In-Between: Filling the Gap Between 2D and 3D;MTh;01:30 pm;04:00 pm;1;10;2;12;;ARS;Arts, Music, Theatre, Film and Video;ARTS 105
10776;ASTR 100 Life in the Universe;ASTR;100;Life in the Universe;MTh;11:10 am;12:20 pm;1;35;1;36;;NPS;Natural and Physical Science;Fulfillment of the basic skills component of the Quantitative Reasoning requirement.
13656;ASTR 100 Life in the Universe;ASTR;100;Life in the Universe;MTh;01:30 pm;02:40 pm;1;35;1;36;;NPS;Natural and Physical Science;Fulfillment of the basic skills component of the Quantitative Reasoning requirement.
10003;ASTR 101 Introduction to Stars, Galaxies, and Cosmology;ASTR;101;Introduction to Stars, Galaxies, and Cosmology;TF;11:10 am;12:20 pm;1;25;11;10;;MM;NPS;Fulfillment of the basic skills component of the Quantitative Reasoning requirement.
12207;ASTR 102 Introductory Astronomy Laboratory;ASTR;102;Introductory Astronomy Laboratory;T;07:30 pm;09:30 pm;0;11;1;10;;;None;
12232;ASTR 102 Introductory Astronomy Laboratory;ASTR;102;Introductory Astronomy Laboratory;T;09:30 pm;11:30 pm;0;9;3;12;;;None;
12233;ASTR 102 Introductory Astronomy Laboratory;ASTR;102;Introductory Astronomy Laboratory;W;07:30 pm;09:30 pm;0;12;0;12;;;None;
12234;ASTR 102 Introductory Astronomy Laboratory;ASTR;102;Introductory Astronomy Laboratory;W;09:30 pm;11:30 pm;0;5;7;12;;;None;
12235;ASTR 102 Introductory Astronomy Laboratory;ASTR;102;Introductory Astronomy Laboratory;Th;07:30 pm;09:30 pm;0;12;0;12;;;None;
;;;class="professorhead;;MTh;01:30 pm;04:00 pm;xs;;xs;;;MM;NPS;Open to first years and sophomores only.Fulfillment of the basic skills component of the Quantitative Reasoning requirement.Not open to students who have taken a 100-level ASTR or GEOS course.
13131;ASTR 206 Astronomical Techniques with Laboratory;ASTR;206;Astronomical Techniques with Laboratory;TF;01:30 pm;02:40 pm;1.25;11;1;12;;MM;QRF;Any 100-level course in astronomy with laboratory.
13983;ASTR 311 Advanced Astrophysics;ASTR;311;Advanced Astrophysics;MTh;09:50 am;11:00 am;1;9;7;16;;MM;NPS;PHYS 207
12268;;;class="professorhead;;TF;11:10 am;12:20 pm;1.25;60;0;60;;NPS;Natural and Physical Science;BISC 110/BISC 112 and one unit of college chemistry, or BISC 116/CHEM116. Not open to first-year students.
12270;BIOC 219 Genetics with Laboratory;BIOC;219;Genetics with Laboratory;T;12:30 pm;04:00 pm;0;12;0;12;;NPS;Natural and Physical Science;BISC 110/BISC 112 and one unit of college chemistry, or BISC 116/CHEM116. Not open to first-year students.
12269;BIOC 219 Genetics with Laboratory;BIOC;219;Genetics with Laboratory;M;01:30 pm;05:00 pm;0;12;0;12;;NPS;Natural and Physical Science;BISC 110/BISC 112 and one unit of college chemistry, or BISC 116/CHEM116. Not open to first-year students.
12271;BIOC 219 Genetics with Laboratory;BIOC;219;Genetics with Laboratory;W;02:15 pm;05:45 pm;0;12;0;12;;NPS;Natural and Physical Science;BISC 110/BISC 112 and one unit of college chemistry, or BISC 116/CHEM116. Not open to first-year students.
12272;BIOC 219 Genetics with Laboratory;BIOC;219;Genetics with Laboratory;Th;01:00 pm;04:30 pm;0;12;0;12;;NPS;Natural and Physical Science;BISC 110/BISC 112 and one unit of college chemistry, or BISC 116/CHEM116. Not open to first-year students.
12273;BIOC 219 Genetics with Laboratory;BIOC;219;Genetics with Laboratory;F;01:00 pm;04:30 pm;0;12;0;12;;NPS;Natural and Physical Science;BISC 110/BISC 112 and one unit of college chemistry, or BISC 116/CHEM116. Not open to first-year students.
12227;BIOC 320 Integrated Biophysical Chemistry Advanced Laboratory;BIOC;320;Integrated Biophysical Chemistry Advanced Laboratory;Th;11:10 am;12:20 pm;1;17;0;16;;NPS;Natural and Physical Science;BIOC 223
13299;BIOC 320 Integrated Biophysical Chemistry Advanced Laboratory;BIOC;320;Integrated Biophysical Chemistry Advanced Laboratory;M;01:30 pm;05:00 pm;0;9;0;8;;NPS;Natural and Physical Science;BIOC 223
13300;BIOC 320 Integrated Biophysical Chemistry Advanced Laboratory;BIOC;320;Integrated Biophysical Chemistry Advanced Laboratory;T;12:30 pm;04:00 pm;0;8;0;8;;NPS;Natural and Physical Science;BIOC 223
13134;BIOC 323 Advanced Biochemistry: Function of Biological Molecules;BIOC;323;Advanced Biochemistry: Function of Biological Molecules;TWF;08:30 am;09:40 am;1;14;21;35;;NPS;Natural and Physical Science;BIOC 223. Not open to students who have taken CHEM 328.
13769;BISC 101 First-Year Seminar: What's up with men & women? ... the science behind female/male differences;BISC;101;First-Year Seminar: What's up with men & women? ... the science behind female/male differences;MTh;09:50 am;11:00 am;1;16;0;16;;NPS;Natural and Physical Science;None. Open to First-Year students only.
11343;BISC 105 Stem Cells: A New Frontier in Biomedicine;BISC;105;Stem Cells: A New Frontier in Biomedicine;TF;09:50 am;11:00 am;1;20;12;8;;NPS;Natural and Physical Science;Fulfillment of the basic skills component of the Quantitative Reasoning requirement.
10244;BISC 109 Human Biology with Laboratory;BISC;109;Human Biology with Laboratory;MTh;09:50 am;11:00 am;1.25;31;25;56;;NPS;QRF;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 103.
10219;BISC 109 Human Biology with Laboratory;BISC;109;Human Biology with Laboratory;M;01:30 pm;05:00 pm;0;10;4;14;;NPS;QRF;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 103.
10259;BISC 109 Human Biology with Laboratory;BISC;109;Human Biology with Laboratory;T;12:30 pm;04:00 pm;0;11;3;14;;NPS;QRF;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 103.
10238;BISC 109 Human Biology with Laboratory;BISC;109;Human Biology with Laboratory;W;02:15 pm;05:45 pm;0;7;7;14;;NPS;QRF;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 103.
10248;BISC 109 Human Biology with Laboratory;BISC;109;Human Biology with Laboratory;Th;01:00 pm;04:30 pm;0;3;11;14;;NPS;QRF;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 103.
10521;BISC 110 Introductory Cellular and Molecular Biology with Laboratory;BISC;110;Introductory Cellular and Molecular Biology with Laboratory;MTh;09:50 am;11:00 am;1.25;19;13;32;;NPS;Natural and Physical Science;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 112 or BISC 116.
10524;BISC 110 Introductory Cellular and Molecular Biology with Laboratory;BISC;110;Introductory Cellular and Molecular Biology with Laboratory;TF;09:50 am;11:00 am;1.25;14;18;32;;NPS;Natural and Physical Science;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 112 or BISC 116.
10522;BISC 110 Introductory Cellular and Molecular Biology with Laboratory;BISC;110;Introductory Cellular and Molecular Biology with Laboratory;M;01:30 pm;05:00 pm;0;11;5;16;;NPS;Natural and Physical Science;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 112 or BISC 116.
10523;BISC 110 Introductory Cellular and Molecular Biology with Laboratory;BISC;110;Introductory Cellular and Molecular Biology with Laboratory;M;06:00 pm;09:30 pm;0;10;6;16;;NPS;Natural and Physical Science;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 112 or BISC 116.
10525;BISC 110 Introductory Cellular and Molecular Biology with Laboratory;BISC;110;Introductory Cellular and Molecular Biology with Laboratory;T;12:30 pm;04:00 pm;0;12;4;16;;NPS;Natural and Physical Science;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 112 or BISC 116.
11391;BISC 110 Introductory Cellular and Molecular Biology with Laboratory;BISC;110;Introductory Cellular and Molecular Biology with Laboratory;Th;06:00 pm;09:30 pm;0;5;11;16;;NPS;Natural and Physical Science;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 112 or BISC 116.
13959;BISC 110 Introductory Cellular and Molecular Biology with Laboratory;BISC;110;Introductory Cellular and Molecular Biology with Laboratory;F;01:00 pm;04:30 pm;0;3;13;16;;NPS;Natural and Physical Science;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 112 or BISC 116.
10207;BISC 111 Introductory Organismal Biology with Laboratory;BISC;111;Introductory Organismal Biology with Laboratory;MTh;09:50 am;11:00 am;1.25;22;10;32;;NPS;QRF;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 111T/BISC 113.
10261;BISC 111 Introductory Organismal Biology with Laboratory;BISC;111;Introductory Organismal Biology with Laboratory;TF;08:30 am;09:40 am;1.25;23;9;32;;NPS;QRF;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 111T/BISC 113.
10225;BISC 111 Introductory Organismal Biology with Laboratory;BISC;111;Introductory Organismal Biology with Laboratory;M;01:30 pm;05:00 pm;0;14;2;16;;NPS;QRF;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 111T/BISC 113.
10253;BISC 111 Introductory Organismal Biology with Laboratory;BISC;111;Introductory Organismal Biology with Laboratory;T;12:30 pm;04:00 pm;0;15;1;16;;NPS;QRF;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 111T/BISC 113.
10224;BISC 111 Introductory Organismal Biology with Laboratory;BISC;111;Introductory Organismal Biology with Laboratory;T;06:00 pm;09:30 pm;0;6;10;16;;NPS;QRF;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 111T/BISC 113.
10263;BISC 111 Introductory Organismal Biology with Laboratory;BISC;111;Introductory Organismal Biology with Laboratory;W;02:15 pm;05:45 pm;0;14;2;16;;NPS;QRF;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 111T/BISC 113.
12328;BISC 111 Introductory Organismal Biology with Laboratory;BISC;111;Introductory Organismal Biology with Laboratory;F;01:00 pm;04:30 pm;0;6;10;16;;NPS;QRF;Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken BISC 111T/BISC 113.
;;;;;;;;;;;;;;;
;BISC 112 Exploration of Cellular and Molecular Biology with Laboratory;BISC;112;Exploration of Cellular and Molecular Biology with Laboratory;<html>
<head>
<script type="text/javascript">var switchTo5x=true;</script>
<!|| <script type="text/javascript" src="https://ws.sharethis.com/button/buttons.js"></script> ||>
<script type="text/javascript">stLight.options({publisher: "42749a5b|852f|4abd|9037|507e14846fae", doNotHash: false, doNotCopy: false, hashAddressBar: false});</script>
<script>
function myFavorites(q_string,)
{if ( (.is(":visible"))) {.hide();}else {.show();var p_url= "https://webapps.wellesley.edu/my_courses/favorites.php";var p_data = q_string;jQuery.ajax({type: "GET",url: p_url,data: p_data,success: function(data) {// .html(data);// .replaceWith('<i class="fa fa|star pull|right"></i>');// .replaceWith('<i class="fa fa|star pull|right"></i>');// .parent().prev().find('.fa').addClass(".fa|star");// .parent().prev().find('i').addClass("fa|star");.parent().prev().children('.coursecode_big').children('div').append('<i class="fa fa;star pull|right"></i>');.hide();}});}
}function myWaitlist(q_string,)
{if ( (.is(":visible"))) {.hide();}else {.show();var p_url= "https://webapps.wellesley.edu/my_courses/waitlist.php";var p_data = q_string'&ajax=1';jQuery.ajax({type: "GET",url: p_url,data: p_data,success: function(data) {// .html(data);// .replaceWith('<i class="fa fa|star pull|right"></i>');// .replaceWith('<i class="fa fa|star pull|right"></i>');// .parent().prev().find('.fa').addClass(".fa|star");// .parent().prev().find('i').addClass("fa|star");if (data.search('Error:') > |1) {alert(data);}else {.parent().prev().children('.coursecode_big').children('div').append('<i class="pull|right"><b><font color="#009900">W</font></b></i>');.hide();document.location = p_url;}}});}
}
function setCookieAndToggle(v1, v2) {var d = new Date();d.setTime(d.getTime()(5*60*1000));var expires = "expires="d.toUTCString();document.cookie ="hideCB=1|"expires;toggleDiv(v1,v2);
}function clearCookieAndToggle(v1, v2) {var d = new Date();var expires = "expires=Thu, 01|Jan|1970 00:00:01 GMT;";document.cookie ="hideCB=1|"expires;toggleDiv(v1,v2);
}
</script>
<style>
/*.sharethis|buttons {position: absolute;bottom: 35px;right: 10px;}.sharethis;buttons .stButton {margin|left: 5px;}.sharethis|buttons .stButton .stLarge {border|radius: 50%;opacity: 1.0;|webkit|filter: grayscale(100%);width: 20px;height: 20px;background|size: 20px;}.sharethis|buttons .stButton .stLarge:hover {opacity: 1.0 !important;|webkit|filter: grayscale(0);background|position: 0 !important;}*/
</style><title>BISC 112 Exploration of Cellular and Molecular Biology with Laboratory</title>
</head>
<b><font size=4>106</font></b> <a href="javascript:clearCookieAndToggle('details','block')">Show</a> | <a href="javascript:setCookieAndToggle('details','none')">Hide</a> </div><br>
<div id="divHeaders" style="display: none;">BISC 112 01</div><div class="waitlist">
<a class="waitlist" href="https://webapps.wellesley.edu/my_courses/waitlist.php?action=add&=11628&term_code=201609"><i class="pull|right"><b><font color="#009900">W</font></b></i></a>
</div>
<div id="my_favorite_11628" style="display: none;"></div>
<div id="my_waitlist_11628" style="display: none;"></div>
<div class="professorhead col|xs|3"><a target=_fac href=faculty_profiles.php?user=ysuzuki><img src="//www.wellesley.edu/sites/default/files/suzukiy.jpg"></a></div><a class="professorname" target=_fac href=faculty_profiles.php?user=ysuzuki>Yuichiro Suzuki</a>
;;;;;;<html>
<head>
<script type="text/javascript">var switchTo5x=true;</script>
<!|| <script type="text/javascript" src="https://ws.sharethis.com/button/buttons.js"></script> ||>
<script type="text/javascript">stLight.options({publisher: "42749a5b|852f|4abd|9037|507e14846fae", doNotHash: false, doNotCopy: false, hashAddressBar: false});</script>
<script>
function myFavorites(q_string,)
{if ( (.is(":visible"))) {.hide();}else {.show();var p_url= "https://webapps.wellesley.edu/my_courses/favorites.php";var p_data = q_string;jQuery.ajax({type: "GET",url: p_url,data: p_data,success: function(data) {// .html(data);// .replaceWith('<i class="fa fa|star pull|right"></i>');// .replaceWith('<i class="fa fa|star pull|right"></i>');// .parent().prev().find('.fa').addClass(".fa|star");// .parent().prev().find('i').addClass("fa|star");.parent().prev().children('.coursecode_big').children('div').append('<i class="fa fa|star pull|right"></i>');.hide();}});}
}function myWaitlist(q_string,)
